Time,Region,value
1990,CAZ,27025.42898
1990,CHA,1644.487059
1990,EUR,20986.72242
1990,IND,1655.245958
1990,JPN,27741.64269
1990,LAM,8688.100405
1990,MEA,10689.42647
1990,NEU,11399.33464
1990,OAS,3688.422423
1990,REF,10511.98385
1990,SSA,2505.715
1990,USA,32835.62291
1991,CAZ,27173.57102
1991,CHA,1849.596436
1991,EUR,21215.16268
1991,IND,1711.965177
1991,JPN,28067.69604
1991,LAM,8816.666897
1991,MEA,10747.1012
1991,NEU,11421.9038
1991,OAS,3886.185681
1991,REF,9595.071816
1991,SSA,2444.872796
1991,USA,33274.81662
1992,CAZ,27408.8596
1992,CHA,2051.683945
1992,EUR,21452.37048
1992,IND,1766.095267
1992,JPN,28396.90727
1992,LAM,8942.35958
1992,MEA,10802.14369
1992,NEU,11473.48861
1992,OAS,4072.493422
1992,REF,8701.80036
1992,SSA,2386.886014
1992,USA,33679.51095
1993,CAZ,27669.21889
1993,CHA,2250.201508
1993,EUR,21682.37151
1993,IND,1817.763024
1993,JPN,28736.80396
1993,LAM,9064.212296
1993,MEA,10887.07735
1993,NEU,11537.83953
1993,OAS,4247.265397
1993,REF,7831.321348
1993,SSA,2330.726045
1993,USA,34089.98865
1994,CAZ,27910.92089
1994,CHA,2444.336536
1994,EUR,21924.86614
1994,IND,1867.114214
1994,JPN,29087.28225
1994,LAM,9182.104052
1994,MEA,10972.13342
1994,NEU,11581.34338
1994,OAS,4415.121989
1994,REF,6979.528204
1994,SSA,2277.303812
1994,USA,34515.80401
1995,CAZ,28136.46131
1995,CHA,2634.999056
1995,EUR,22177.45937
1995,IND,1914.318048
1995,JPN,29448.71471
1995,LAM,9296.935931
1995,MEA,11042.92451
1995,NEU,11622.80188
1995,OAS,4579.053575
1995,REF,6134.27781
1995,SSA,2224.586368
1995,USA,34938.57973
1996,CAZ,29033.77011
1996,CHA,2850.408884
1996,EUR,22829.40573
1996,IND,2006.125212
1996,JPN,29694.17072
1996,LAM,9433.259194
1996,MEA,11330.8695
1996,NEU,11932.36639
1996,OAS,4646.458618
1996,REF,6237.86646
1996,SSA,2242.46874
1996,USA,36158.46227
1997,CAZ,29935.64326
1997,CHA,3062.296314
1997,EUR,23481.47809
1997,IND,2094.342772
1997,JPN,29934.95421
1997,LAM,9566.704274
1997,MEA,11602.68877
1997,NEU,12241.65537
1997,OAS,4711.37129
1997,REF,6343.660395
1997,SSA,2259.40109
1997,USA,37330.31037
1998,CAZ,30863.36927
1998,CHA,3271.657471
1998,EUR,24133.86409
1998,IND,2179.172214
1998,JPN,30164.32925
1998,LAM,9697.622843
1998,MEA,11862.27986
1998,NEU,12574.28724
1998,OAS,4773.995699
1998,REF,6451.112276
1998,SSA,2274.468977
1998,USA,38483.64745
1999,CAZ,31772.6983
1999,CHA,3479.946693
1999,EUR,24776.20051
1999,IND,2260.961102
1999,JPN,30419.34371
1999,LAM,9826.711525
1999,MEA,12107.62131
1999,NEU,12916.37772
1999,OAS,4835.171852
1999,REF,6564.433348
1999,SSA,2286.910796
1999,USA,39612.11917
2000,CAZ,32633.88707
2000,CHA,3687.25614
2000,EUR,25425.4224
2000,IND,2339.656156
2000,JPN,30678.02408
2000,LAM,9954.704905
2000,MEA,12336.0173
2000,NEU,13235.48473
2000,OAS,4895.491969
2000,REF,6677.881063
2000,SSA,2296.661693
2000,USA,40724.28834
2001,CAZ,33256.74476
2001,CHA,4059.783018
2001,EUR,25900.44338
2001,IND,2466.374433
2001,JPN,30976.26445
2001,LAM,10085.66762
2001,MEA,12655.55574
2001,NEU,13615.30929
2001,OAS,5083.486096
2001,REF,7218.30193
2001,SSA,2375.520466
2001,USA,41405.55332
2002,CAZ,33851.16196
2002,CHA,4429.241522
2002,EUR,26350.02847
2002,IND,2588.619061
2002,JPN,31275.52661
2002,LAM,10216.07378
2002,MEA,12977.34941
2002,NEU,13992.97676
2002,OAS,5264.586005
2002,REF,7760.348192
2002,SSA,2448.182941
2002,USA,42095.51677
2003,CAZ,34456.68797
2003,CHA,4796.004216
2003,EUR,26766.04399
2003,IND,2707.21401
2003,JPN,31579.08775
2003,LAM,10346.97914
2003,MEA,13286.74188
2003,NEU,14369.7066
2003,OAS,5441.884861
2003,REF,8301.001956
2003,SSA,2515.110369
2003,USA,42798.43327
2004,CAZ,35061.55756
2004,CHA,5159.338148
2004,EUR,27170.66205
2004,IND,2822.449746
2004,JPN,31938.74789
2004,LAM,10476.88278
2004,MEA,13563.27882
2004,NEU,14738.61336
2004,OAS,5617.717155
2004,REF,8837.766564
2004,SSA,2576.304785
2004,USA,43457.54321
2005,CAZ,35638.6819
2005,CHA,5518.681492
2005,EUR,27572.73179
2005,IND,2935.132396
2005,JPN,32306.00213
2005,LAM,10605.09428
2005,MEA,13805.40192
2005,NEU,15102.44382
2005,OAS,5790.649161
2005,REF,9372.530849
2005,SSA,2632.179841
2005,USA,44102.54046
2006,CAZ,35859.87149
2006,CHA,6202.462137
2006,EUR,27752.25725
2006,IND,3124.020452
2006,JPN,32269.97236
2006,LAM,10896.61931
2006,MEA,14094.42601
2006,NEU,15403.05432
2006,OAS,6023.259256
2006,REF,9809.332023
2006,SSA,2712.183036
2006,USA,44117.67542
2007,CAZ,36025.34221
2007,CHA,6880.901865
2007,EUR,27925.70634
2007,IND,3308.438252
2007,JPN,32217.3677
2007,LAM,11183.85742
2007,MEA,14349.66632
2007,NEU,15700.96084
2007,OAS,6252.516876
2007,REF,10233.12167
2007,SSA,2785.44119
2007,USA,44134.28338
2008,CAZ,36136.19668
2008,CHA,7553.01882
2008,EUR,28100.72758
2008,IND,3488.358889
2008,JPN,32186.23271
2008,LAM,11467.25872
2008,MEA,14582.64509
2008,NEU,15992.55082
2008,OAS,6474.916003
2008,REF,10636.93662
2008,SSA,2852.367672
2008,USA,44148.91546
2009,CAZ,36212.79646
2009,CHA,8219.560407
2009,EUR,28295.8259
2009,IND,3663.680249
2009,JPN,32174.71519
2009,LAM,11745.69622
2009,MEA,14802.03654
2009,NEU,16270.48355
2009,OAS,6689.278776
2009,REF,11029.54968
2009,SSA,2913.611219
2009,USA,44189.9357
2010,CAZ,36348.99022
2010,CHA,8880.440492
2010,EUR,28512.53211
2010,IND,3834.012788
2010,JPN,32153.40043
2010,LAM,12022.57644
2010,MEA,15027.45515
2010,NEU,16534.80557
2010,OAS,6895.786756
2010,REF,11409.68477
2010,SSA,2968.9626
2010,USA,44247.68338
2011,CAZ,36848.47712
2011,CHA,9601.822101
2011,EUR,28867.33021
2011,IND,4061.751722
2011,JPN,32558.16679
2011,LAM,12166.23319
2011,MEA,15164.70226
2011,NEU,17234.86395
2011,OAS,7150.265085
2011,REF,11598.70561
2011,SSA,3028.313585
2011,USA,44904.84335
2012,CAZ,37266.76709
2012,CHA,10301.39338
2012,EUR,29142.67751
2012,IND,4283.888868
2012,JPN,32955.91345
2012,LAM,12306.84966
2012,MEA,15293.74873
2012,NEU,17896.54783
2012,OAS,7400.942724
2012,REF,11790.26705
2012,SSA,3082.782668
2012,USA,45547.06197
2013,CAZ,37671.4957
2013,CHA,10992.78445
2013,EUR,29392.89106
2013,IND,4500.994371
2013,JPN,33349.69924
2013,LAM,12446.97821
2013,MEA,15394.61166
2013,NEU,18508.722
2013,OAS,7649.037501
2013,REF,11972.80669
2013,SSA,3132.225236
2013,USA,46196.30985
2014,CAZ,38078.6257
2014,CHA,11678.55448
2014,EUR,29637.27956
2014,IND,4714.485492
2014,JPN,33740.6468
2014,LAM,12586.13381
2014,MEA,15478.82542
2014,NEU,19064.57884
2014,OAS,7892.105532
2014,REF,12154.27629
2014,SSA,3177.497452
2014,USA,46815.45595
2015,CAZ,38522.55499
2015,CHA,12361.15126
2015,EUR,29885.79181
2015,IND,4924.617285
2015,JPN,34123.50622
2015,LAM,12723.69769
2015,MEA,15555.65
2015,NEU,19611.14071
2015,OAS,8132.519654
2015,REF,12329.97677
2015,SSA,3218.322931
2015,USA,47421.73345
2016,CAZ,38739.97875
2016,CHA,13115.7998
2016,EUR,30284.66734
2016,IND,5138.916285
2016,JPN,34230.95984
2016,LAM,12629.99262
2016,MEA,15521.60612
2016,NEU,20042.63408
2016,OAS,8369.2826
2016,REF,12516.67858
2016,SSA,3202.412526
2016,USA,48103.82301
2017,CAZ,38920.63597
2017,CHA,13857.11055
2017,EUR,30698.8563
2017,IND,5349.056289
2017,JPN,34349.07067
2017,LAM,12541.07751
2017,MEA,15499.75543
2017,NEU,20514.92446
2017,OAS,8598.783114
2017,REF,12709.80655
2017,SSA,3186.764912
2017,USA,48818.49802
2018,CAZ,39072.42909
2018,CHA,14608.7644
2018,EUR,31108.69382
2018,IND,5557.472153
2018,JPN,34482.86781
2018,LAM,12459.61315
2018,MEA,15471.60024
2018,NEU,21048.25351
2018,OAS,8821.33029
2018,REF,12910.43674
2018,SSA,3169.56853
2018,USA,49574.87055
2019,CAZ,39214.63459
2019,CHA,15370.23319
2019,EUR,31543.89319
2019,IND,5764.338893
2019,JPN,34621.65232
2019,LAM,12382.73804
2019,MEA,15448.94077
2019,NEU,21587.3439
2019,OAS,9039.40439
2019,REF,13110.31326
2019,SSA,3151.161012
2019,USA,50357.72306
2020,CAZ,39425.00083
2020,CHA,16145.54333
2020,EUR,31988.56037
2020,IND,5970.590285
2020,JPN,34814.23755
2020,LAM,12315.27311
2020,MEA,15467.79443
2020,NEU,22126.74988
2020,OAS,9250.626748
2020,REF,13321.29491
2020,SSA,3131.897023
2020,USA,50874.45352
2021,CAZ,40124.36318
2021,CHA,17038.62999
2021,EUR,32653.88803
2021,IND,6299.044713
2021,JPN,35254.21212
2021,LAM,12485.06146
2021,MEA,15652.42779
2021,NEU,22732.50854
2021,OAS,9554.519621
2021,REF,13638.85528
2021,SSA,3150.125647
2021,USA,52202.77043
2022,CAZ,40621.66918
2022,CHA,17946.06966
2022,EUR,32988.50063
2022,IND,6629.648315
2022,JPN,35737.49958
2022,LAM,12657.81049
2022,MEA,15807.53573
2022,NEU,23348.20321
2022,OAS,9854.481339
2022,REF,14245.32804
2022,SSA,3167.101544
2022,USA,53351.46861
2023,CAZ,41110.82783
2023,CHA,18854.80298
2023,EUR,33727.67915
2023,IND,6946.814876
2023,JPN,36221.32751
2023,LAM,12817.65494
2023,MEA,15946.28277
2023,NEU,23969.56107
2023,OAS,10144.80014
2023,REF,14489.6174
2023,SSA,3181.442779
2023,USA,54447.88491
2024,CAZ,41594.42999
2024,CHA,19767.21582
2024,EUR,34446.40259
2024,IND,7250.690243
2024,JPN,36709.14303
2024,LAM,12970.88076
2024,MEA,16078.79829
2024,NEU,24584.31837
2024,OAS,10427.45745
2024,REF,14743.33448
2024,SSA,3193.144537
2024,USA,55537.63419
2025,CAZ,42072.35936
2025,CHA,20685.64444
2025,EUR,35148.81461
2025,IND,7550.161872
2025,JPN,37206.82808
2025,LAM,13123.78512
2025,MEA,16209.25856
2025,NEU,25196.19264
2025,OAS,10705.48667
2025,REF,15014.9757
2025,SSA,3202.901105
2025,USA,56621.32516
2026,CAZ,42527.60042
2026,CHA,21623.93864
2026,EUR,35689.85068
2026,IND,7883.721117
2026,JPN,37706.04331
2026,LAM,13469.14214
2026,MEA,16530.66461
2026,NEU,25728.04116
2026,OAS,11006.69634
2026,REF,15546.16663
2026,SSA,3307.941085
2026,USA,57402.48157
2027,CAZ,42992.93592
2027,CHA,22565.31479
2027,EUR,36191.04317
2027,IND,8216.521032
2027,JPN,38172.7547
2027,LAM,13816.02469
2027,MEA,16877.42244
2027,NEU,26224.18638
2027,OAS,11316.06458
2027,REF,16118.44237
2027,SSA,3415.415439
2027,USA,58075.04469
2028,CAZ,43451.14259
2028,CHA,23508.34607
2028,EUR,36691.9727
2028,IND,8544.080713
2028,JPN,38644.09171
2028,LAM,14158.41742
2028,MEA,17215.56118
2028,NEU,26715.43536
2028,OAS,11619.92502
2028,REF,16690.99049
2028,SSA,3518.363066
2028,USA,58738.80728
2029,CAZ,43902.38301
2029,CHA,24453.03686
2029,EUR,37192.63947
2029,IND,8866.522961
2029,JPN,39120.12343
2029,LAM,14496.40695
2029,MEA,17545.39823
2029,NEU,27201.86022
2029,OAS,11918.42345
2029,REF,17263.81116
2029,SSA,3617.064059
2029,USA,59393.94095
2030,CAZ,44346.81484
2030,CHA,25399.39153
2030,EUR,37693.04369
2030,IND,9183.966771
2030,JPN,39600.92037
2030,LAM,14830.07767
2030,MEA,17867.23563
2030,NEU,27683.53167
2030,OAS,12211.70055
2030,REF,17836.9046
2030,SSA,3711.775872
2030,USA,60040.61287
2031,CAZ,44887.1021
2031,CHA,26226.64004
2031,EUR,38229.08023
2031,IND,9517.676405
2031,JPN,40044.93073
2031,LAM,15257.55572
2031,MEA,18220.18336
2031,NEU,28164.57483
2031,OAS,12483.21388
2031,REF,18481.82434
2031,SSA,3862.48802
2031,USA,60596.39462
2032,CAZ,45419.9319
2032,CHA,27058.20022
2032,EUR,38765.0211
2032,IND,9847.06793
2032,JPN,40493.89743
2032,LAM,15680.64267
2032,MEA,18565.26619
2032,NEU,28641.89794
2032,OAS,12750.68727
2032,REF,19127.63173
2032,SSA,4007.263277
2032,USA,61145.53962
2033,CAZ,45945.45759
2033,CHA,27894.10589
2033,EUR,39300.86632
2033,IND,10172.22462
2033,JPN,40947.90393
2033,LAM,16099.40583
2033,MEA,18902.7441
2033,NEU,29115.54399
2033,OAS,13014.21022
2033,REF,19774.32861
2033,SSA,4146.445668
2033,USA,61688.16605
2034,CAZ,46463.82832
2034,CHA,28734.3912
2034,EUR,39836.61592
2034,IND,10493.22762
2034,JPN,41407.03556
2034,LAM,16513.91115
2034,MEA,19232.86576
2034,NEU,29585.5553
2034,OAS,13273.86962
2034,REF,20421.91682
2034,SSA,4280.353142
2034,USA,62224.38929
2035,CAZ,46975.18924
2035,CHA,29579.09064
2035,EUR,40372.26992
2035,IND,10810.15601
2035,JPN,41871.37959
2035,LAM,16924.22323
2035,MEA,19555.86909
2035,NEU,30051.97355
2035,OAS,13529.74981
2035,REF,21070.39821
2035,SSA,4409.279995
2035,USA,62754.32201
2036,CAZ,47551.38324
2036,CHA,30380.78365
2036,EUR,40962.02573
2036,IND,11178.5228
2036,JPN,42292.69088
2036,LAM,17389.98831
2036,MEA,19920.31571
2036,NEU,30571.90464
2036,OAS,13823.87377
2036,REF,21680.40812
2036,SSA,4594.412022
2036,USA,63248.22559
2037,CAZ,48120.349
2037,CHA,31188.55786
2037,EUR,41551.79565
2037,IND,11543.28755
2037,JPN,42719.07475
2037,LAM,17852.15163
2037,MEA,20277.5043
2037,NEU,31088.96393
2037,OAS,14114.42982
2037,REF,22291.04569
2037,SSA,4772.94309
2037,USA,63736.88987
2038,CAZ,48682.22168
2038,CHA,32002.48273
2038,EUR,42141.57969
2038,IND,11904.50283
2038,JPN,43150.62339
2038,LAM,18310.75481
2038,MEA,20627.64953
2038,NEU,31603.17516
2038,OAS,14401.48248
2038,REF,22902.3119
2038,SSA,4945.220056
2038,USA,64220.39777
2039,CAZ,49237.1331
2039,CHA,32822.62877
2039,EUR,42731.37784
2039,IND,12262.2202
2039,JPN,43587.43119
2039,LAM,18765.83883
2039,MEA,20970.95769
2039,NEU,32114.56178
2039,OAS,14685.09474
2039,REF,23514.20772
2039,SSA,5111.565892
2039,USA,64698.83047
2040,CAZ,49785.21183
2040,CHA,33649.06758
2040,EUR,43321.1901
2040,IND,12616.49022
2040,JPN,44029.59489
2040,LAM,19217.44404
2040,MEA,21307.62711
2040,NEU,32623.14701
2040,OAS,14965.32808
2040,REF,24126.73412
2040,SSA,5272.281709
2040,USA,65172.26748
2041,CAZ,50370.83728
2041,CHA,34440.54742
2041,EUR,43937.82332
2041,IND,13017.60373
2041,JPN,44502.64752
2041,LAM,19720.15582
2041,MEA,21690.01452
2041,NEU,33177.59789
2041,OAS,15289.79866
2041,REF,24669.66869
2041,SSA,5500.097975
2041,USA,65620.19901
2042,CAZ,50949.49186
2042,CHA,35239.6299
2042,EUR,44554.58517
2042,IND,13415.87938
2042,JPN,44981.55166
2042,LAM,20220.18007
2042,MEA,22065.76851
2042,NEU,33730.11344
2042,OAS,15611.14172
2042,REF,25212.93654
2042,SSA,5720.661203
2042,USA,66063.82206
2043,CAZ,51521.29931
2043,CHA,36046.42509
2043,EUR,45171.47569
2043,IND,13811.34718
2043,JPN,45466.41658
2043,LAM,20717.53829
2043,MEA,22435.06023
2043,NEU,34280.70379
2043,OAS,15929.40225
2043,REF,25756.53796
2043,SSA,5934.312342
2043,USA,66503.1985
2044,CAZ,52086.38043
2044,CHA,36861.0452
2044,EUR,45788.49492
2044,IND,14204.03671
2044,JPN,45957.35425
2044,LAM,21212.25175
2044,MEA,22798.05496
2044,NEU,34829.37897
2044,OAS,16244.62441
2044,REF,26300.47327
2044,SSA,6141.371299
2044,USA,66938.38901
2045,CAZ,52644.85323
2045,CHA,37683.60462
2045,EUR,46405.64289
2045,IND,14593.97715
2045,JPN,46454.47948
