Time,Region,Good,value
1990,LAM,Transportation,0.74096685
1990,OAS,Transportation,0.959998
1990,SSA,Transportation,0.17945269
1990,EUR,Transportation,3.17967199
1990,NEU,Transportation,0.84098898
1990,MEA,Transportation,0.73347664
1990,REF,Transportation,1.37643848
1990,CAZ,Transportation,0.68715588
1990,CHA,Transportation,0.49788165
1990,IND,Transportation,0.29384021
1990,JPN,Transportation,0.25763833
1990,USA,Transportation,4.35523442
1991,LAM,Transportation,0.78027911
1991,OAS,Transportation,1.06894113
1991,SSA,Transportation,0.19380648
1991,EUR,Transportation,3.24144543
1991,NEU,Transportation,0.86465502
1991,MEA,Transportation,0.76627468
1991,REF,Transportation,1.44424044
1991,CAZ,Transportation,0.70863052
1991,CHA,Transportation,0.56529332
1991,IND,Transportation,0.33266809
1991,JPN,Transportation,0.26446847
1991,USA,Transportation,4.44351346
1992,LAM,Transportation,0.84217391
1992,OAS,Transportation,1.21211828
1992,SSA,Transportation,0.21413938
1992,EUR,Transportation,3.38529971
1992,NEU,Transportation,0.91464514
1992,MEA,Transportation,0.82080359
1992,REF,Transportation,1.54862317
1992,CAZ,Transportation,0.74914168
1992,CHA,Transportation,0.65306768
1992,IND,Transportation,0.38337476
1992,JPN,Transportation,0.27877675
1992,USA,Transportation,4.64654178
1993,LAM,Transportation,0.89010399
1993,OAS,Transportation,1.34480291
1993,SSA,Transportation,0.23147401
1993,EUR,Transportation,3.46110878
1993,NEU,Transportation,0.94800181
1993,MEA,Transportation,0.86091982
1993,REF,Transportation,1.62680275
1993,CAZ,Transportation,0.77563782
1993,CHA,Transportation,0.73425785
1993,IND,Transportation,0.43012702
1993,JPN,Transportation,0.28694201
1993,USA,Transportation,4.75770223
1994,LAM,Transportation,0.99109299
1994,OAS,Transportation,1.56828708
1994,SSA,Transportation,0.26400933
1994,EUR,Transportation,3.7304399
1994,NEU,Transportation,1.0335741
1994,MEA,Transportation,0.95014235
1994,REF,Transportation,1.79619353
1994,CAZ,Transportation,0.84619732
1994,CHA,Transportation,0.86517264
1994,IND,Transportation,0.50585229
1994,JPN,Transportation,0.31071068
1994,USA,Transportation,5.13192613
1995,LAM,Transportation,1.04379427
1995,OAS,Transportation,1.72218763
1995,SSA,Transportation,0.28404446
1995,EUR,Transportation,3.79916923
1995,NEU,Transportation,1.06835683
1995,MEA,Transportation,0.99275752
1995,REF,Transportation,1.87985961
1995,CAZ,Transportation,0.87333932
1995,CHA,Transportation,0.95987438
1995,IND,Transportation,0.56027983
1995,JPN,Transportation,0.31865778
1995,USA,Transportation,5.23550439
1996,LAM,Transportation,1.13496174
1996,OAS,Transportation,1.94233856
1996,SSA,Transportation,0.31543084
1996,EUR,Transportation,3.99614976
1996,NEU,Transportation,1.14017135
1996,MEA,Transportation,1.0705954
1996,REF,Transportation,2.02544928
1996,CAZ,Transportation,0.93073955
1996,CHA,Transportation,1.09516167
1996,IND,Transportation,0.6382781
1996,JPN,Transportation,0.33843398
1996,USA,Transportation,5.51397079
1997,LAM,Transportation,1.23604669
1997,OAS,Transportation,2.1907559
1997,SSA,Transportation,0.34778062
1997,EUR,Transportation,4.21143275
1997,NEU,Transportation,1.21307164
1997,MEA,Transportation,1.16155363
1997,REF,Transportation,2.19379502
1997,CAZ,Transportation,0.99364569
1997,CHA,Transportation,1.24716365
1997,IND,Transportation,0.72586659
1997,JPN,Transportation,0.35966889
1997,USA,Transportation,5.81585795
1998,LAM,Transportation,1.30999596
1998,OAS,Transportation,2.37334223
1998,SSA,Transportation,0.37537875
1998,EUR,Transportation,4.31842485
1998,NEU,Transportation,1.25807288
1998,MEA,Transportation,1.22197697
1998,REF,Transportation,2.30745558
1998,CAZ,Transportation,1.03244534
1998,CHA,Transportation,1.37790048
1998,IND,Transportation,0.80093798
1998,JPN,Transportation,0.37768004
1998,USA,Transportation,5.96888119
1999,LAM,Transportation,1.42765364
1999,OAS,Transportation,2.68910927
1999,SSA,Transportation,0.41652639
1999,EUR,Transportation,4.5509646
1999,NEU,Transportation,1.33539091
1999,MEA,Transportation,1.32163229
1999,REF,Transportation,2.51553921
1999,CAZ,Transportation,1.10331162
1999,CHA,Transportation,1.56116466
1999,IND,Transportation,0.90641469
1999,JPN,Transportation,0.39741567
1999,USA,Transportation,6.29848326
2000,LAM,Transportation,1.52252817
2000,OAS,Transportation,2.95753604
2000,SSA,Transportation,0.45121898
2000,EUR,Transportation,4.69119833
2000,NEU,Transportation,1.39067342
2000,MEA,Transportation,1.40022754
2000,REF,Transportation,2.67725583
2000,CAZ,Transportation,1.15391425
2000,CHA,Transportation,1.72665279
2000,IND,Transportation,1.00141379
2000,JPN,Transportation,0.41270182
2000,USA,Transportation,6.50282887
2001,LAM,Transportation,1.57997449
2001,OAS,Transportation,3.15433858
2001,SSA,Transportation,0.47545047
2001,EUR,Transportation,4.71029181
2001,NEU,Transportation,1.40230408
2001,MEA,Transportation,1.4434318
2001,REF,Transportation,2.77236889
2001,CAZ,Transportation,1.17448468
2001,CHA,Transportation,1.85418014
2001,IND,Transportation,1.07429002
2001,JPN,Transportation,0.41819469
2001,USA,Transportation,6.5319233
2002,LAM,Transportation,1.70281332
2002,OAS,Transportation,3.50186778
2002,SSA,Transportation,0.52071652
2002,EUR,Transportation,4.90615869
2002,NEU,Transportation,1.47444564
2002,MEA,Transportation,1.54412754
2002,REF,Transportation,2.97974736
2002,CAZ,Transportation,1.24168574
2002,CHA,Transportation,2.06378107
2002,IND,Transportation,1.19460353
2002,JPN,Transportation,0.43728411
2002,USA,Transportation,6.81289981
2003,LAM,Transportation,1.79618758
2003,OAS,Transportation,3.77407746
2003,SSA,Transportation,0.55693445
2003,EUR,Transportation,5.00209075
2003,NEU,Transportation,1.51295646
2003,MEA,Transportation,1.61850133
2003,REF,Transportation,3.13931085
2003,CAZ,Transportation,1.28497408
2003,CHA,Transportation,2.24419803
2003,IND,Transportation,1.29788507
2003,JPN,Transportation,0.45285526
2003,USA,Transportation,6.95353846
2004,LAM,Transportation,1.93451756
2004,OAS,Transportation,4.15501085
2004,SSA,Transportation,0.60932188
2004,EUR,Transportation,5.20064688
2004,NEU,Transportation,1.59230953
2004,MEA,Transportation,1.7295416
2004,REF,Transportation,3.37310313
2004,CAZ,Transportation,1.35790709
2004,CHA,Transportation,2.48759694
2004,IND,Transportation,1.43744127
2004,JPN,Transportation,0.47753014
2004,USA,Transportation,7.24471099
2005,LAM,Transportation,2.0140754
2005,OAS,Transportation,4.41517102
2005,SSA,Transportation,0.64357769
2005,EUR,Transportation,5.22701678
2005,NEU,Transportation,1.61714507
2005,MEA,Transportation,1.78762145
2005,REF,Transportation,3.50461383
2005,CAZ,Transportation,1.38730957
2005,CHA,Transportation,2.66150597
2005,IND,Transportation,1.53670614
2005,JPN,Transportation,0.48728224
2005,USA,Transportation,7.29484054
2006,LAM,Transportation,2.16748656
2006,OAS,Transportation,4.85218712
2006,SSA,Transportation,0.7018238
2006,EUR,Transportation,5.19397324
2006,NEU,Transportation,1.69527678
2006,MEA,Transportation,1.91080004
2006,REF,Transportation,3.76648349
2006,CAZ,Transportation,1.4652318
2006,CHA,Transportation,3.2419213
2006,IND,Transportation,1.69584753
2006,JPN,Transportation,0.51244619
2006,USA,Transportation,7.68526953
2007,LAM,Transportation,2.31655392
2007,OAS,Transportation,5.29334163
2007,SSA,Transportation,0.76014017
2007,EUR,Transportation,5.59788372
2007,NEU,Transportation,1.76330036
2007,MEA,Transportation,2.02781706
2007,REF,Transportation,4.01903274
2007,CAZ,Transportation,1.53705072
2007,CHA,Transportation,3.88430387
2007,IND,Transportation,1.85631225
2007,JPN,Transportation,0.53465136
2007,USA,Transportation,7.95200016
2008,LAM,Transportation,2.23379493
2008,OAS,Transportation,5.20573312
2008,SSA,Transportation,0.7429196
2008,EUR,Transportation,5.12653101
2008,NEU,Transportation,1.66920289
2008,MEA,Transportation,1.94085034
2008,REF,Transportation,3.85530617
2008,CAZ,Transportation,1.454882
2008,CHA,Transportation,4.2175431
2008,IND,Transportation,1.83120023
2008,JPN,Transportation,0.50315191
2008,USA,Transportation,7.55155629
2009,LAM,Transportation,2.31798441
2009,OAS,Transportation,5.51931226
2009,SSA,Transportation,0.78341272
2009,EUR,Transportation,4.7312613
2009,NEU,Transportation,1.71138607
2009,MEA,Transportation,1.99464222
2009,REF,Transportation,3.97999166
2009,CAZ,Transportation,1.48210473
2009,CHA,Transportation,4.87401099
2009,IND,Transportation,1.94187682
2009,JPN,Transportation,0.5063249
2009,USA,Transportation,7.62163644
2010,LAM,Transportation,2.51925588
2010,OAS,Transportation,6.18647673
2010,SSA,Transportation,0.86113893
2010,EUR,Transportation,4.86401098
2010,NEU,Transportation,1.83723959
2010,MEA,Transportation,2.17456479
2010,REF,Transportation,4.33324179
2010,CAZ,Transportation,1.59349832
2010,CHA,Transportation,5.50282767
2010,IND,Transportation,2.28868113
2010,JPN,Transportation,0.54213177
2010,USA,Transportation,7.41116126
2011,LAM,Transportation,2.62447528
2011,OAS,Transportation,6.64639358
2011,SSA,Transportation,0.910498
2011,EUR,Transportation,5.11627587
2011,NEU,Transportation,1.88632949
2011,MEA,Transportation,2.26608495
2011,REF,Transportation,4.5210099
2011,CAZ,Transportation,1.64213109
2011,CHA,Transportation,5.91489448
2011,IND,Transportation,2.56885218
2011,JPN,Transportation,0.55480858
2011,USA,Transportation,7.53396518
2012,LAM,Transportation,2.72722622
2012,OAS,Transportation,7.09657054
2012,SSA,Transportation,0.9673809
2012,EUR,Transportation,5.04371356
2012,NEU,Transportation,1.92680874
2012,MEA,Transportation,2.34167458
2012,REF,Transportation,4.70785097
2012,CAZ,Transportation,1.68787367
2012,CHA,Transportation,6.36880109
2012,IND,Transportation,2.86015472
2012,JPN,Transportation,0.57016578
2012,USA,Transportation,7.75196635
2013,LAM,Transportation,2.84746575
2013,OAS,Transportation,7.60740263
2013,SSA,Transportation,1.02118047
2013,EUR,Transportation,4.88223148
2013,NEU,Transportation,1.98582345
2013,MEA,Transportation,2.45159862
2013,REF,Transportation,4.91655112
2013,CAZ,Transportation,1.74302956
2013,CHA,Transportation,6.86390541
2013,IND,Transportation,3.18430684
2013,JPN,Transportation,0.58851363
2013,USA,Transportation,7.86141101
2014,LAM,Transportation,2.9017022
2014,OAS,Transportation,7.96553286
2014,SSA,Transportation,1.05056429
2014,EUR,Transportation,5.17614165
2014,NEU,Transportation,1.99431316
2014,MEA,Transportation,2.50753167
2014,REF,Transportation,5.01181277
2014,CAZ,Transportation,1.75668936
2014,CHA,Transportation,7.75528896
2014,IND,Transportation,3.44562441
2014,JPN,Transportation,0.59005057
2014,USA,Transportation,8.13168057
2015,LAM,Transportation,3.05868959
2015,OAS,Transportation,8.3275873
2015,SSA,Transportation,1.11845832
2015,EUR,Transportation,5.07157823
2015,NEU,Transportation,2.0424666
2015,MEA,Transportation,2.57791206
2015,REF,Transportation,5.21705262
2015,CAZ,Transportation,1.79282487
2015,CHA,Transportation,8.60982096
2015,IND,Transportation,3.44867584
2015,JPN,Transportation,0.60577306
2015,USA,Transportation,8.07104884
2016,LAM,Transportation,2.94480003
2016,OAS,Transportation,8.63939296
2016,SSA,Transportation,1.10034026
2016,EUR,Transportation,5.28856434
2016,NEU,Transportation,2.09522024
2016,MEA,Transportation,2.67484805
2016,REF,Transportation,5.03043501
2016,CAZ,Transportation,1.77454721
2016,CHA,Transportation,10.54197991
2016,IND,Transportation,3.75878515
2016,JPN,Transportation,0.61339457
2016,USA,Transportation,8.86169854
2017,LAM,Transportation,2.96214906
2017,OAS,Transportation,9.02761821
2017,SSA,Transportation,1.1110142
2017,EUR,Transportation,5.56982698
2017,NEU,Transportation,2.17452913
2017,MEA,Transportation,2.64520205
2017,REF,Transportation,5.008082
2017,CAZ,Transportation,1.83005833
2017,CHA,Transportation,10.16008521
2017,IND,Transportation,4.04214775
2017,JPN,Transportation,0.62600873
2017,USA,Transportation,8.41647332
2018,LAM,Transportation,3.03557499
2018,OAS,Transportation,9.37912869
2018,SSA,Transportation,1.14156571
2018,EUR,Transportation,5.3184
2018,NEU,Transportation,2.23203346
2018,MEA,Transportation,2.69139708
2018,REF,Transportation,5.12862742
2018,CAZ,Transportation,1.87899788
2018,CHA,Transportation,10.76765055
2018,IND,Transportation,4.28249453
2018,JPN,Transportation,0.62760207
2018,USA,Transportation,9.56210129
2019,LAM,Transportation,3.13891905
2019,OAS,Transportation,9.73822282
2019,SSA,Transportation,1.17008242
2019,EUR,Transportation,5.21278496
2019,NEU,Transportation,2.28078649
2019,MEA,Transportation,2.79307329
2019,REF,Transportation,5.15197569
2019,CAZ,Transportation,1.92525714
2019,CHA,Transportation,11.37909588
2019,IND,Transportation,4.56677567
2019,JPN,Transportation,0.63157374
2019,USA,Transportation,10.44185453
1990,LAM,Textile sector,0.56883675
1990,OAS,Textile sector,0.52612194
1990,SSA,Textile sector,0.17813215
1990,EUR,Textile sector,1.61518314
1990,NEU,Textile sector,0.50938771
1990,MEA,Textile sector,0.49952003
1990,REF,Textile sector,0.40163999
1990,CAZ,Textile sector,0.46113725
1990,CHA,Textile sector,0.38520587
1990,IND,Textile sector,0.37835429
1990,JPN,Textile sector,0.39071736
1990,USA,Textile sector,3.12546277
1991,LAM,Textile sector,0.59901659
1991,OAS,Textile sector,0.58582766
1991,SSA,Textile sector,0.19238032
1991,EUR,Textile sector,1.64656229
1991,NEU,Textile sector,0.52372225
1991,MEA,Textile sector,0.5218565
1991,REF,Textile sector,0.42142437
1991,CAZ,Textile sector,0.47554847
1991,CHA,Textile sector,0.43736159
1991,IND,Textile sector,0.42834982
1991,JPN,Textile sector,0.40107551
1991,USA,Textile sector,3.18881478
1992,LAM,Textile sector,0.64653293
1992,OAS,Textile sector,0.66429516
1992,SSA,Textile sector,0.21256359
1992,EUR,Textile sector,1.71963618
1992,NEU,Textile sector,0.55400131
1992,MEA,Textile sector,0.55899235
1992,REF,Textile sector,0.45188289
1992,CAZ,Textile sector,0.50273474
1992,CHA,Textile sector,0.5052717
1992,IND,Textile sector,0.4936407
1992,JPN,Textile sector,0.4227745
1992,USA,Textile sector,3.33451474
1993,LAM,Textile sector,0.68332863
1993,OAS,Textile sector,0.73701229
1993,SSA,Textile sector,0.22977067
1993,EUR,Textile sector,1.75814504
1993,NEU,Textile sector,0.57420547
1993,MEA,Textile sector,0.58631273
1993,REF,Textile sector,0.47469542
1993,CAZ,Textile sector,0.5205158
1993,CHA,Textile sector,0.56808769
1993,IND,Textile sector,0.5538398
1993,JPN,Textile sector,0.4351574
1993,USA,Textile sector,3.41428721
1994,LAM,Textile sector,0.76085741
1994,OAS,Textile sector,0.85949164
1994,SSA,Textile sector,0.26206657
1994,EUR,Textile sector,1.89495761
1994,NEU,Textile sector,0.62603668
1994,MEA,Textile sector,0.647076
1994,REF,Textile sector,0.52412307
1994,CAZ,Textile sector,0.56786694
1994,CHA,Textile sector,0.66937511
1994,IND,Textile sector,0.65134512
1994,JPN,Textile sector,0.4712034
1994,USA,Textile sector,3.68284288
1995,LAM,Textile sector,0.80131594
1995,OAS,Textile sector,0.94383604
1995,SSA,Textile sector,0.28195427
1995,EUR,Textile sector,1.92987016
1995,NEU,Textile sector,0.6471046
1995,MEA,Textile sector,0.67609824
1995,REF,Textile sector,0.54853654
1995,CAZ,Textile sector,0.58608142
1995,CHA,Textile sector,0.74264486
1995,IND,Textile sector,0.72142706
1995,JPN,Textile sector,0.48325544
1995,USA,Textile sector,3.75717412
1996,LAM,Textile sector,0.87130478
1996,OAS,Textile sector,1.06448862
1996,SSA,Textile sector,0.31310968
1996,EUR,Textile sector,2.02993068
1996,NEU,Textile sector,0.69060272
1996,MEA,Textile sector,0.72910822
1996,REF,Textile sector,0.5910191
1996,CAZ,Textile sector,0.62460162
1996,CHA,Textile sector,0.84731524
1996,IND,Textile sector,0.82185914
1996,JPN,Textile sector,0.51324674
1996,USA,Textile sector,3.95701098
1997,LAM,Textile sector,0.94890721
1997,OAS,Textile sector,1.20063246
1997,SSA,Textile sector,0.34522142
1997,EUR,Textile sector,2.13928833
1997,NEU,Textile sector,0.73475848
1997,MEA,Textile sector,0.79105355
1997,REF,Textile sector,0.64014181
1997,CAZ,Textile sector,0.66681674
1997,CHA,Textile sector,0.9649176
1997,IND,Textile sector,0.93463975
1997,JPN,Textile sector,0.5454502
1997,USA,Textile sector,4.17365537
1998,LAM,Textile sector,1.00567772
1998,OAS,Textile sector,1.30069795
1998,SSA,Textile sector,0.37261645
1998,EUR,Textile sector,2.19363728
1998,NEU,Textile sector,0.76201577
1998,MEA,Textile sector,0.83220369
1998,REF,Textile sector,0.67330757
1998,CAZ,Textile sector,0.69285444
1998,CHA,Textile sector,1.06606733
1998,IND,Textile sector,1.03130312
1998,JPN,Textile sector,0.57276473
1998,USA,Textile sector,4.28346999
1999,LAM,Textile sector,1.09600296
1999,OAS,Textile sector,1.47375245
1999,SSA,Textile sector,0.4134613
1999,EUR,Textile sector,2.31176087
1999,NEU,Textile sector,0.80884737
1999,MEA,Textile sector,0.90007201
1999,REF,Textile sector,0.73402565
1999,CAZ,Textile sector,0.74041146
1999,CHA,Textile sector,1.20785692
1999,IND,Textile sector,1.16711695
1999,JPN,Textile sector,0.60269449
1999,USA,Textile sector,4.52000353
2000,LAM,Textile sector,1.16883769
2000,OAS,Textile sector,1.62086236
2000,SSA,Textile sector,0.44789861
2000,EUR,Textile sector,2.38299562
2000,NEU,Textile sector,0.84233203
2000,MEA,Textile sector,0.95359779
2000,REF,Textile sector,0.781214
2000,CAZ,Textile sector,0.77436992
2000,CHA,Textile sector,1.33589337
2000,IND,Textile sector,1.28943961
2000,JPN,Textile sector,0.62587646
2000,USA,Textile sector,4.66664881
2001,LAM,Textile sector,1.21293896
2001,OAS,Textile sector,1.72871897
2001,SSA,Textile sector,0.47195178
2001,EUR,Textile sector,2.39269457
2001,NEU,Textile sector,0.84937673
2001,MEA,Textile sector,0.98302121
2001,REF,Textile sector,0.80896767
2001,CAZ,Textile sector,0.78817435
2001,CHA,Textile sector,1.43455997
2001,IND,Textile sector,1.38327645
2001,JPN,Textile sector,0.6342066
2001,USA,Textile sector,4.68752796
2002,LAM,Textile sector,1.30724175
2002,OAS,Textile sector,1.91918055
2002,SSA,Textile sector,0.51688474
2002,EUR,Textile sector,2.49218939
2002,NEU,Textile sector,0.89307293
2002,MEA,Textile sector,1.05159808
2002,REF,Textile sector,0.86947999
2002,CAZ,Textile sector,0.8332717
2002,CHA,Textile sector,1.59672604
2002,IND,Textile sector,1.53819443
2002,JPN,Textile sector,0.66315635
2002,USA,Textile sector,4.88916616
2003,LAM,Textile sector,1.37892473
2003,OAS,Textile sector,2.06836367
2003,SSA,Textile sector,0.55283615
2003,EUR,Textile sector,2.54092015
2003,NEU,Textile sector,0.91639896
2003,MEA,Textile sector,1.10224891
2003,REF,Textile sector,0.91604006
2003,CAZ,Textile sector,0.86232168
2003,CHA,Textile sector,1.73631276
2003,IND,Textile sector,1.67118174
2003,JPN,Textile sector,0.68677053
2003,USA,Textile sector,4.99009319
2004,LAM,Textile sector,1.48512
2004,OAS,Textile sector,2.27713224
2004,SSA,Textile sector,0.60483808
2004,EUR,Textile sector,2.64178103
2004,NEU,Textile sector,0.96446318
2004,MEA,Textile sector,1.17787073
2004,REF,Textile sector,0.98425984
2004,CAZ,Textile sector,0.91126564
2004,CHA,Textile sector,1.92462799
2004,IND,Textile sector,1.85087697
2004,JPN,Textile sector,0.72419084
2004,USA,Textile sector,5.19904839
2005,LAM,Textile sector,1.54619618
2005,OAS,Textile sector,2.41971168
2005,SSA,Textile sector,0.63884181
2005,EUR,Textile sector,2.65517619
2005,NEU,Textile sector,0.97950609
2005,MEA,Textile sector,1.21742489
2005,REF,Textile sector,1.02263421
2005,CAZ,Textile sector,0.93099709
2005,CHA,Textile sector,2.0591796
2005,IND,Textile sector,1.97869233
2005,JPN,Textile sector,0.73898023
2005,USA,Textile sector,5.23502304
2006,LAM,Textile sector,1.6639692
2006,OAS,Textile sector,2.65921609
2006,SSA,Textile sector,0.6966593
2006,EUR,Textile sector,2.63839101
2006,NEU,Textile sector,1.02683053
2006,MEA,Textile sector,1.30131327
2006,REF,Textile sector,1.09904687
2006,CAZ,Textile sector,0.98328922
2006,CHA,Textile sector,2.50824093
2006,IND,Textile sector,2.18360584
2006,JPN,Textile sector,0.77714222
2006,USA,Textile sector,5.51520802
2007,LAM,Textile sector,1.77840751
2007,OAS,Textile sector,2.90098855
2007,SSA,Textile sector,0.75454654
2007,EUR,Textile sector,2.84356607
2007,NEU,Textile sector,1.06803247
2007,MEA,Textile sector,1.38100545
2007,REF,Textile sector,1.17273987
2007,CAZ,Textile sector,1.03148552
2007,CHA,Textile sector,3.00524566
2007,IND,Textile sector,2.39022328
2007,JPN,Textile sector,0.81081713
2007,USA,Textile sector,5.7066229
2008,LAM,Textile sector,1.71487383
2008,OAS,Textile sector,2.85297516
2008,SSA,Textile sector,0.73745269
2008,EUR,Textile sector,2.60413227
2008,NEU,Textile sector,1.01103756
2008,MEA,Textile sector,1.32177845
2008,REF,Textile sector,1.12496502
2008,CAZ,Textile sector,0.97634366
2008,CHA,Textile sector,3.2630694
2008,IND,Textile sector,2.35788857
2008,JPN,Textile sector,0.76304713
2008,USA,Textile sector,5.4192509
2009,LAM,Textile sector,1.77950569
2009,OAS,Textile sector,3.02483059
2009,SSA,Textile sector,0.77764784
2009,EUR,Textile sector,2.40334648
2009,NEU,Textile sector,1.03658794
2009,MEA,Textile sector,1.35841236
2009,REF,Textile sector,1.16134782
2009,CAZ,Textile sector,0.99461231
2009,CHA,Textile sector,3.77097181
2009,IND,Textile sector,2.50039787
2009,JPN,Textile sector,0.76785908
2009,USA,Textile sector,5.46954278
2010,LAM,Textile sector,1.93402085
2010,OAS,Textile sector,3.39046662
2010,SSA,Textile sector,0.85480208
2010,EUR,Textile sector,2.47077955
2010,NEU,Textile sector,1.11281752
2010,MEA,Textile sector,1.48094514
2010,REF,Textile sector,1.26442499
2010,CAZ,Textile sector,1.06936644
2010,CHA,Textile sector,4.25748077
2010,IND,Textile sector,2.94694976
2010,JPN,Textile sector,0.82216142
2010,USA,Textile sector,5.3184987
2011,LAM,Textile sector,2.01479729
2011,OAS,Textile sector,3.64252168
2011,SSA,Textile sector,0.90379794
2011,EUR,Textile sector,2.59892295
2011,NEU,Textile sector,1.14255131
2011,MEA,Textile sector,1.54327316
2011,REF,Textile sector,1.31921507
2011,CAZ,Textile sector,1.10200297
2011,CHA,Textile sector,4.57629259
2011,IND,Textile sector,3.30770338
2011,JPN,Textile sector,0.84138624
2011,USA,Textile sector,5.40662693
2012,LAM,Textile sector,2.0936787
2012,OAS,Textile sector,3.88923884
2012,SSA,Textile sector,0.96026225
2012,EUR,Textile sector,2.56206336
2012,NEU,Textile sector,1.16706963
2012,MEA,Textile sector,1.59475201
2012,REF,Textile sector,1.37373465
2012,CAZ,Textile sector,1.13269994
2012,CHA,Textile sector,4.92747542
2012,IND,Textile sector,3.68279012
2012,JPN,Textile sector,0.86467596
2012,USA,Textile sector,5.56307191
2013,LAM,Textile sector,2.18598602
2013,OAS,Textile sector,4.16919773
2013,SSA,Textile sector,1.01366592
2013,EUR,Textile sector,2.48003505
2013,NEU,Textile sector,1.20281489
2013,MEA,Textile sector,1.66961365
2013,REF,Textile sector,1.43463263
2013,CAZ,Textile sector,1.16971401
2013,CHA,Textile sector,5.31053251
2013,IND,Textile sector,4.10017461
2013,JPN,Textile sector,0.89250111
2013,USA,Textile sector,5.64161308
2014,LAM,Textile sector,2.22762309
2014,OAS,Textile sector,4.36546915
2014,SSA,Textile sector,1.04283352
2014,EUR,Textile sector,2.62933307
2014,NEU,Textile sector,1.20795711
2014,MEA,Textile sector,1.70770577
2014,REF,Textile sector,1.46242966
2014,CAZ,Textile sector,1.17888085
2014,CHA,Textile sector,6.00018673
2014,IND,Textile sector,4.43665213
2014,JPN,Textile sector,0.89483193
2014,USA,Textile sector,5.83556761
2015,LAM,Textile sector,2.34814156
2015,OAS,Textile sector,4.56389122
2015,SSA,Textile sector,1.11022794
2015,EUR,Textile sector,2.57621782
2015,NEU,Textile sector,1.23712369
2015,MEA,Textile sector,1.75563696
2015,REF,Textile sector,1.52231793
2015,CAZ,Textile sector,1.2031307
2015,CHA,Textile sector,6.66132929
2015,IND,Textile sector,4.44058121
2015,JPN,Textile sector,0.91867563
2015,USA,Textile sector,5.79205623
2016,LAM,Textile sector,2.26070908
2016,OAS,Textile sector,4.7347747
2016,SSA,Textile sector,1.09224321
2016,EUR,Textile sector,2.68644061
2016,NEU,Textile sector,1.26907661
2016,MEA,Textile sector,1.82165334
